Month,Passengers,label,model_run_ts,period,prophet,prophet_tuned,arima,sarima,ensemble_prophet_prophet_tuned,ensemble_prophet_arima,ensemble_prophet_sarima,ensemble_prophet_tuned_arima,ensemble_prophet_tuned_sarima,ensemble_arima_sarima,ensemble_prophet_prophet_tuned_arima,ensemble_prophet_prophet_tuned_sarima,ensemble_prophet_arima_sarima,ensemble_prophet_tuned_arima_sarima,ensemble_prophet_prophet_tuned_arima_sarima,winner_model,winner_forecast
1953-11-30,180.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-12-31,201.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-01-31,204.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-02-28,188.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-03-31,235.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-04-30,227.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-05-31,234.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-06-30,264.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-07-31,302.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-08-31,293.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-09-30,259.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-10-31,229.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-11-30,203.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1954-12-31,229.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-01-31,242.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-02-28,233.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-03-31,267.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-04-30,269.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-05-31,270.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-06-30,315.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-07-31,364.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-08-31,347.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-09-30,312.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-10-31,274.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-11-30,237.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1955-12-31,278.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-01-31,284.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-02-29,277.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-03-31,317.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-04-30,313.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-05-31,318.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-06-30,374.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-07-31,413.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-08-31,405.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-09-30,355.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-10-31,306.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-11-30,271.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1956-12-31,306.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-01-31,315.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-02-28,301.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-03-31,356.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-04-30,348.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-05-31,355.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-06-30,422.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-07-31,465.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-08-31,467.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-09-30,404.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-10-31,347.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-11-30,305.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1957-12-31,336.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-01-31,340.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-02-28,318.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-03-31,362.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-04-30,348.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-05-31,363.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-06-30,435.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1958-07-31,491.0,type,2024-11-21 11:53:20.949215,TEST,448.4315040012301,491.71114556398425,433.8317829391802,476.0118030567784,470.0713247826072,441.1316434702052,462.2216535290042,462.77146425158224,483.8614743103813,454.9217929979793,457.9914775014649,472.0514842073309,452.7583633323963,467.184910519981,462.4965588902933,prophet_tuned,491.71114556398425
1958-08-31,505.0,type,2024-11-21 11:53:20.949215,TEST,446.0692793104518,486.0503896917694,419.8156723632868,476.83153713490526,466.0598345011106,432.9424758368693,461.45040822267856,452.9330310275281,481.4409634133373,448.323604749096,450.6451137885026,469.65040204570886,447.5721629362147,460.8991997299872,457.19171962510336,prophet_tuned,486.0503896917694
1958-09-30,404.0,type,2024-11-21 11:53:20.949215,TEST,415.97045312958215,427.68613779284993,405.7820561277782,415.6872367619061,421.828295461216,410.87625462868016,415.8288449457441,416.7340969603141,421.6866872773781,410.73464644484216,416.4795490167368,419.78127589477936,412.47991533975545,416.3851435608447,416.2814709530292,prophet_tuned,427.68613779284993
1958-10-31,359.0,type,2024-11-21 11:53:20.949215,TEST,385.24077642727866,372.5810138231146,379.3924244669071,359.880692369974,378.9108951251967,382.31660044709287,372.5607343986263,375.98671914501085,366.2308530965443,369.6365584184405,379.0714049057668,372.5674942067892,374.8379644213866,370.6180435533319,374.2737267718186,prophet_tuned,372.5810138231146
1958-11-30,310.0,type,2024-11-21 11:53:20.949215,TEST,359.137639168833,326.6915973960194,370.77629594312674,318.91068360810686,342.9146182824262,364.9569675559799,339.0241613884699,348.7339466695731,322.8011405020632,344.84348977561683,352.2018441693264,334.91330672431974,349.6082062400222,338.79285898241767,343.8790540290215,prophet_tuned,326.6915973960194
1958-12-31,337.0,type,2024-11-21 11:53:20.949215,TEST,386.0939358821586,370.9996878971194,366.9572228532023,350.50142224245883,378.546811889639,376.5255793676805,368.2976790623087,368.9784553751609,360.75055506978913,358.7293225478306,374.68361554416015,369.1983486739123,367.8508603259399,362.8194443309269,368.6380672187348,prophet_tuned,370.9996878971194
1959-01-31,360.0,type,2024-11-21 11:53:20.949215,TEST,393.5424767149949,377.7777602200689,369.8864717466605,355.2389893740967,385.6601184675319,381.7144742308277,374.3907330445458,373.8321159833647,366.5083747970828,362.56273056037855,380.4022362272414,375.5197421030535,372.8893126119174,367.6344071136087,374.1114245139552,prophet_tuned,377.7777602200689
1959-02-28,342.0,type,2024-11-21 11:53:20.949215,TEST,387.6020473740469,363.1670153205852,377.5230667241204,334.419320806363,375.38453134731606,382.5625570490837,361.0106840902049,370.3450410223528,348.79316806347407,355.97119376524165,376.0973764729175,361.7294611669984,366.5148116348434,358.3698009503562,365.67786255627885,prophet_tuned,363.1670153205852
1959-03-31,406.0,type,2024-11-21 11:53:20.949215,TEST,423.054929746342,420.6261311838399,382.8258215384577,380.04223511152907,421.8405304650909,402.9403756423999,401.5485824289356,401.7259763611488,400.3341831476845,381.4340283249934,408.83562748954654,407.907765347237,395.3076621321096,394.4980626112756,401.6372793950421,prophet_tuned,420.6261311838399
1959-04-30,396.0,type,2024-11-21 11:53:20.949215,TEST,417.6804743829196,408.4028298145492,386.857382937892,366.9274652660875,413.0416520987344,402.2689286604058,392.3039698245035,397.63010637622057,387.6651475403184,376.8924241019897,404.3135623784536,397.6702564878521,390.4884408622997,387.3958926728429,394.96703810036206,prophet_tuned,408.4028298145492
1959-05-31,420.0,type,2024-11-21 11:53:20.949215,TEST,422.56066906558885,415.3840346910727,387.7554877081275,380.7471596990636,418.9723518783308,405.15807838685816,401.6539143823262,401.56976119960007,398.0655971950681,384.2513237035955,408.566730488263,406.23062115190834,397.0211054909266,394.62889403275454,401.6118377909632,prophet_tuned,415.3840346910727
1959-06-30,472.0,type,2024-11-21 11:53:20.949215,TEST,456.2293910629349,482.3748026382141,386.4788094683224,452.0094689250207,469.30209685057446,421.35410026562863,454.11942999397775,434.42680605326825,467.19213578161737,419.24413919667154,441.6943343898238,463.5378875420565,431.572556485426,440.2876936771857,444.273118023623,prophet_tuned,482.3748026382141
1959-07-31,548.0,type,2024-11-21 11:53:20.949215,TEST,485.135524814578,537.3554575708076,384.60772541474273,493.3146068998696,511.2454911926928,434.87162511466033,489.2250658572238,460.9815914927752,515.3350322353386,438.9611661573061,469.03290260004286,505.2685297617518,454.3526190430634,471.75926329514,475.1033286749996,prophet_tuned,537.3554575708076
1959-08-31,559.0,type,2024-11-21 11:53:20.949215,TEST,480.0769503733098,529.544982328548,382.65198675904406,494.30847524884143,504.8109663509289,431.3644685661769,487.1927128110756,456.0984845437961,511.92672878869473,438.4802310039428,464.0913064869673,501.3101359835664,452.3458041270651,468.8351481121445,471.6455986774358,prophet_tuned,529.544982328548
1959-09-30,463.0,type,2024-11-21 11:53:20.949215,TEST,452.7359520091748,465.72556478861577,381.5582914090445,432.8903883572662,459.2307583988953,417.1471217091096,442.8131701832205,423.6419280988301,449.307976572941,407.2243398831553,433.339936068945,450.4506350516856,422.3948772584952,426.72474818497545,433.2275491410253,prophet_tuned,465.72556478861577
1959-10-31,407.0,type,2024-11-21 11:53:20.949215,TEST,422.0262305032285,405.6969684630573,381.2971526289997,376.9077637148018,413.86159948314287,401.6616915661141,399.4669971090152,393.4970605460285,391.3023660889296,379.1024581719007,403.0067838650951,401.5436542270292,393.4103822823433,387.9672949356196,396.4820288275218,prophet_tuned,405.6969684630573
1959-11-30,362.0,type,2024-11-21 11:53:20.949215,TEST,395.9629831195313,356.01514797359687,381.6293640533628,335.7857919354899,375.9890655465641,388.796173586447,365.8743875275106,368.82225601347983,345.9004699545434,358.70757799442634,377.8691650488304,362.5879743428727,371.1260463694613,357.81010132081656,367.34832177049526,prophet_tuned,356.01514797359687
1959-12-31,405.0,type,2024-11-21 11:53:20.949215,TEST,423.3758437799472,404.7361386564234,382.26870394649137,367.2893740756346,414.0559912181853,402.82227386321927,395.3326089277909,393.5024213014574,386.01275636602907,374.779039011063,403.4602287942873,398.4671188373352,390.9779739340244,384.7647388928498,394.41751511462417,prophet_tuned,404.7361386564234
1960-01-31,417.0,type,2024-11-21 11:53:20.949215,TEST,429.8261056239343,411.646982469742,382.8301294104583,371.9181219059744,420.73654404683816,406.3281175171963,400.8721137649544,397.2385559401001,391.7825521878582,377.3741256582164,408.1010725013782,404.46373666655023,394.8581189801224,388.7984112620582,399.05533485252727,prophet_tuned,411.646982469742
1960-02-29,391.0,type,2024-11-21 11:53:20.949215,TEST,429.1854228191565,398.1232259814819,383.1737177483725,350.9243094044229,413.6543244003192,406.17957028376446,390.0548661117897,390.6484718649272,374.5237676929524,367.04901357639767,403.4941221830036,392.7443194016871,387.7611499906506,377.4070843780924,390.3516689883584,prophet_tuned,398.1232259814819
1960-03-31,419.0,type,2024-11-21 11:53:20.949215,TEST,460.7321115515125,459.3466697676165,383.2565650855139,396.30778191076433,460.0393906595645,421.9943383185132,428.5199467311384,421.3016174265652,427.8272258391904,389.7821734981391,434.4451154682142,438.7955210766311,413.4321528492636,412.9703389212982,424.91078207885175,prophet_tuned,459.3466697676165
1960-04-30,461.0,type,2024-11-21 11:53:20.949215,TEST,453.3924160897029,445.9346484286872,383.1430337894676,383.06240683255936,449.6635322591951,418.26772493958526,418.2274114611312,414.5388411090774,414.4985276306233,383.1027203110135,427.490032769286,427.4631571169832,406.53261890391,404.0466963502381,416.3831262851043,prophet_tuned,445.9346484286872
1960-05-31,472.0,type,2024-11-21 11:53:20.949215,TEST,453.91908916792966,450.0133517098556,382.95440514270337,397.056241383243,451.9662204388926,418.4367471553165,425.4876652755863,416.4838784262795,423.5347965465493,390.0053232629732,428.9622820068295,433.6628940870094,411.3099118979586,410.007999411934,420.9857718509329,prophet_tuned,450.0133517098556
1960-06-30,535.0,type,2024-11-21 11:53:20.949215,TEST,493.7522518263837,521.1227948989675,382.7787044210138,468.4273881524709,507.4375233626756,438.2654781236988,481.08981998942727,451.95074965999066,494.7750915257192,425.6030462867424,465.884583715455,494.4341449592741,448.3194481332894,457.44296249081737,466.520284824709,prophet_tuned,521.1227948989675
1960-07-31,622.0,type,2024-11-21 11:53:20.949215,TEST,519.9164156776551,579.8413158123477,382.67458480913456,509.6892480317251,549.8788657450013,451.2955002433948,514.8028318546901,481.25795031074114,544.7652819220364,446.1819164204298,494.14410543304575,536.4823265072426,470.76008283950495,490.7350495510691,498.0303910827156,prophet_tuned,579.8413158123477
1960-08-31,606.0,type,2024-11-21 11:53:20.949215,TEST,523.0473818458457,575.2554726756317,382.6511083746941,510.657424929882,549.1514272607387,452.8492451102699,516.8524033878639,478.9532905251629,542.9564488027569,446.654266652288,493.65132096539054,536.3200931504531,472.118638383474,489.521335326736,497.9028469565134,prophet_tuned,575.2554726756317
1960-09-30,508.0,type,2024-11-21 11:53:20.949215,TEST,487.5946189819327,505.6288875186144,382.685016601704,449.27973199890783,496.6117532502735,435.1398177918184,468.43717549042026,444.1569520601592,477.4543097587612,415.9823743003059,458.63617436741697,480.8344128331517,439.85312252751487,445.8645453730754,456.2970637752897,prophet_tuned,505.6288875186144
1960-10-31,461.0,type,2024-11-21 11:53:20.949215,TEST,456.76752058143535,439.5520625092548,382.7439689906556,393.323085913531,448.1597915453451,419.7557447860455,425.0453032474832,411.1480157499552,416.43757421139287,388.03352745209327,426.3545173604486,429.8808896680737,410.94485849520726,405.2063724711472,418.0966594987192,prophet_tuned,439.5520625092548
1960-11-30,390.0,type,2024-11-21 11:53:20.949215,TEST,430.57498563055424,383.99680569320833,382.7973952625569,352.2235344789877,407.2858956618813,406.68619044655554,391.3992600547709,383.3971004778826,368.1101700860981,367.5104648707722,399.1230621954398,388.9317752675834,388.5319717906996,373.0059118115843,387.39818026632673,prophet_tuned,383.99680569320833
1960-12-31,432.0,type,2024-11-21 11:53:20.949215,TEST,456.4954374747045,433.9308824396705,382.8290472285811,383.7399755283711,445.2131599571875,419.6622423516428,420.1177065015378,408.37996483412576,408.8354289840208,383.28451137847605,424.41845571431867,424.72209848091535,407.6881534105523,400.1666350655409,414.24883566783177,prophet_tuned,433.9308824396705
1961-01-31,,type,2024-11-21 11:53:20.949215,FCST,465.1724727611263,440.6576511609477,489.0048475789312,445.1991971693348,452.915061961037,477.0886601700288,455.1858349652306,464.8312493699394,442.9284241651412,467.102022374133,464.9449905003351,450.3431070304696,466.4588391697975,458.2872319697379,460.008542167585,prophet_tuned,440.6576511609477
1961-02-28,,type,2024-11-21 11:53:20.949215,FCST,458.4305901034272,423.6691413040013,500.0174706611015,420.5090644815246,441.0498657037142,479.2240303822644,439.4698272924759,461.8433059825513,422.0891028927629,460.263267571313,460.7057340228433,434.20293196298434,459.6523750820177,448.0652254822091,450.6565666375136,prophet_tuned,423.6691413040013
1961-03-31,,type,2024-11-21 11:53:20.949215,FCST,492.83398595999387,484.0215543988202,528.6552052795388,453.77326313674246,488.4277701794071,510.7445956197663,473.3036245483681,506.33837983917954,468.89740876778137,491.2142342081406,501.83691521278433,476.87626783185215,491.7541514587583,488.8166742717005,489.8210021937739,prophet_tuned,484.0215543988202
1961-04-30,,type,2024-11-21 11:53:20.949215,FCST,491.3359450720009,482.2683936924045,514.4486746334226,488.12328270068485,486.8021693822027,502.8923098527117,489.7296138863429,498.3585341629136,485.1958381965447,501.2859786670537,496.0176711326093,487.2425404883634,497.9693008020361,494.946783675504,494.0440740246282,prophet_tuned,482.2683936924045
1961-05-31,,type,2024-11-21 11:53:20.949215,FCST,495.60873926846233,492.4779628050397,505.173027346592,501.0350115372847,494.043351036751,500.39088330752713,498.3218754028735,498.8254950758159,496.7564871711622,503.1040194419384,497.7532431400314,496.3739045369289,500.6055927174463,499.5620005629721,498.5736852393447,prophet_tuned,492.4779628050397
1961-06-30,,type,2024-11-21 11:53:20.949215,FCST,536.6866895687803,564.5994520231815,488.6180671408065,562.415292189796,550.6430707959809,512.6523783547934,549.5509908792881,526.608759581994,563.5073721064887,525.5166796653012,529.9680695775894,554.5671445939192,529.2400162997943,538.5442704512614,538.079875230641,prophet_tuned,564.5994520231815
1961-07-31,,type,2024-11-21 11:53:20.949215,FCST,576.3566000261393,638.2229477684662,478.6264330569892,647.7939744206059,607.2897738973027,527.4915165415642,612.0752872233726,558.4246904127276,643.008461094536,563.2102037387975,564.4019936171982,620.7911740717371,567.5923358345781,588.2144517486871,585.2499888180502,prophet_tuned,638.2229477684662
1961-08-31,,type,2024-11-21 11:53:20.949215,FCST,576.6666587565337,635.9820847649323,476.4415831847651,635.7727603941524,606.324371760733,526.5541209706494,606.2197095753431,556.2118339748487,635.8774225795423,556.1071717894588,563.030108902077,616.1405013052062,562.9603341118171,582.7321427812832,581.2157717750958,prophet_tuned,635.9820847649323
1961-09-30,,type,2024-11-21 11:53:20.949215,FCST,528.1047909879209,540.5991407945911,478.7950208107852,538.0674400122629,534.351965891256,503.449905899353,533.0861155000919,509.69708080268816,539.333290403427,508.431230411524,515.8329841977658,535.590457264925,514.9890839369897,519.1538672058797,521.39159815139,prophet_tuned,540.5991407945911
1961-10-31,,type,2024-11-21 11:53:20.949215,FCST,492.962014751956,476.0683783843969,484.9239138365691,489.74122859969793,484.51519656817646,488.94296429426254,491.351621675827,480.496146110483,482.90480349204745,487.3325712181335,484.6514356576407,486.25720724535023,489.2090523960744,483.5778402735546,485.923883893155,prophet_tuned,476.0683783843969
